AssemblyEngineering,GenericBOM,tipcf310
AssemblyEngineering,LineSegments,tiasl140
AssemblyEngineering,LineSegmentsByAssemblyLine,tiasl141
AssemblyEngineering,OptionsbyProductVaraint,tipcf520
AssemblyEngineering,ProductVariantsAssembly,"tiapl300,tipcf500,tipcf510"
AssemblyEngineering,Stations,tiasl145
AssemblyEngineering,StationsByLineSegment,tiasl150
Service,MaintenanceTriggers,tsmdm069
Service,MaintenanceTriggerSets,tsmdm068
Service,MeasurementTypes,tsmdm065
Service,MeasurementTypesByReferenceActivity,
Service,MeasurementUnits,tsmdm060
Service,PhysicalBreakdowns,tscfg210
Service,PreventiveMaintenanceScenario,tsspc130
Service,PreventiveMaintenanceScenarioLinePatterns,tsspc132
Service,PreventiveMaintenanceScenarioLines,tsspc131
Service,ReferenceActivities,tsacm101
Service,ResourceRequirementsByReferenceActivity,tsacm220
Service,RuleBookForMaintenanceScenarios,tsspc135
Service,SerializedItemService,tscfg200
Service,ServiceInstallations,"tsbsc100,tsbsc110"
GeneralLedger,ChartOfAccounts,tfgld008
GeneralLedger,CrossValidationRules,tfdlg051
GeneralLedger,Dimension,tfdlg010
GeneralLedger,GLCodes,
FixedAssets,AssetBooks,tffam110
FixedAssets,Assets,tffam100
Miscelaneous,ConversionCodes,
Miscelaneous,ConversionCodesValues,
Miscelaneous,COnversionFactorsByItem,tcibd003
Miscelaneous,COnversionFactorsByItemGroup,
Miscelaneous,SourcingStrategies,cprpd710
Miscelaneous,SupplyRelationships,
Miscelaneous,Units,tcmcs001
OpenTransactions,ConfigurationLines,tsctm110
OpenTransactions,OpenEntriesAccountsPayable,
OpenTransactions,OpenEntriesAccountsReceivable,
OpenTransactions,OpenBalances,
OpenTransactions,ProductionOrderEstimatedMaterials,ticst001
OpenTransactions,ProductionOrderMaterials,ticst001
OpenTransactions,ProductionOrderOperations,"ticst002,tisfc010"
OpenTransactions,ProductionOrders,tisfc001
OpenTransactions,PurchaseContractLines,"tdpur301,tdpur303"
OpenTransactions,PurchaseContracts,tdpur300
OpenTransactions,PurchaseOrderHeader,"tdpur400,tdpur450"
OpenTransactions,PurchaseOrderLines,"tdpur401,tdpur411,tdpur413,tdpur415,tdpur451"
OpenTransactions,SalesContractLines,tdsls301
OpenTransactions,SalesContracts,tdsls300
OpenTransactions,SalesOrderHeaders,"tdsls400,tdsls450"
OpenTransactions,SalesOrderLines,"tdsls401,tdsls411,tdsls413,tdsls415,tdsls451"
OpenTransactions,ServiceContracts,"tsctm300,tsctm320"
OpenTransactions,ServiceContractTerms,"tsctm120,tsctm130,tsctm131,tsctm132,tsctm135,tsctm136,tsctm111"
OpenTransactions,ServiceOrderActivities,tssoc210
OpenTransactions,ServiceOrderCosts,"tssoc220,tssoc230,tssoc240"
OpenTransactions,ServiceOrders,tssoc200
Texts,Texts,"tttxt001,tttxt002,tttxt010"
